date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
02-07-1916,Chile,Uruguay,0,4,Copa América,Buenos Aires,Argentina,TRUE
06-07-1916,Argentina,Chile,6,1,Copa América,Buenos Aires,Argentina,FALSE
08-07-1916,Brazil,Chile,1,1,Copa América,Buenos Aires,Argentina,TRUE
10-07-1916,Argentina,Brazil,1,1,Copa América,Buenos Aires,Argentina,FALSE
12-07-1916,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,TRUE
17-07-1916,Argentina,Uruguay,0,0,Copa América,Avellaneda,Argentina,FALSE
30-09-1917,Uruguay,Chile,4,0,Copa América,Montevideo,Uruguay,FALSE
03-10-1917,Argentina,Brazil,4,2,Copa América,Montevideo,Uruguay,TRUE
06-10-1917,Argentina,Chile,1,0,Copa América,Montevideo,Uruguay,TRUE
07-10-1917,Uruguay,Brazil,4,0,Copa América,Montevideo,Uruguay,FALSE
12-10-1917,Brazil,Chile,5,0,Copa América,Montevideo,Uruguay,TRUE
14-10-1917,Uruguay,Argentina,1,0,Copa América,Montevideo,Uruguay,FALSE
11-05-1919,Brazil,Chile,6,0,Copa América,Rio de Janeiro,Brazil,FALSE
13-05-1919,Argentina,Uruguay,2,3,Copa América,Rio de Janeiro,Brazil,TRUE
17-05-1919,Chile,Uruguay,0,2,Copa América,Rio de Janeiro,Brazil,TRUE
18-05-1919,Brazil,Argentina,3,1,Copa América,Rio de Janeiro,Brazil,FALSE
22-05-1919,Argentina,Chile,4,1,Copa América,Rio de Janeiro,Brazil,TRUE
26-05-1919,Brazil,Uruguay,2,2,Copa América,Rio de Janeiro,Brazil,FALSE
29-05-1919,Brazil,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,FALSE
11-09-1920,Chile,Brazil,0,1,Copa América,Viña del Mar,Chile,FALSE
12-09-1920,Uruguay,Argentina,1,1,Copa América,Viña del Mar,Chile,TRUE
18-09-1920,Brazil,Uruguay,0,6,Copa América,Viña del Mar,Chile,TRUE
20-09-1920,Chile,Argentina,1,1,Copa América,Viña del Mar,Chile,FALSE
25-09-1920,Argentina,Brazil,2,0,Copa América,Viña del Mar,Chile,TRUE
03-10-1920,Chile,Uruguay,1,2,Copa América,Viña del Mar,Chile,FALSE
02-10-1921,Argentina,Brazil,1,0,Copa América,Buenos Aires,Argentina,FALSE
09-10-1921,Paraguay,Uruguay,2,1,Copa América,Buenos Aires,Argentina,TRUE
12-10-1921,Brazil,Paraguay,3,0,Copa América,Buenos Aires,Argentina,TRUE
16-10-1921,Argentina,Paraguay,3,0,Copa América,Buenos Aires,Argentina,FALSE
23-10-1921,Brazil,Uruguay,1,2,Copa América,Buenos Aires,Argentina,TRUE
30-10-1921,Argentina,Uruguay,1,0,Copa América,Buenos Aires,Argentina,FALSE
17-09-1922,Brazil,Chile,1,1,Copa América,Rio de Janeiro,Brazil,FALSE
23-09-1922,Chile,Uruguay,0,2,Copa América,Rio de Janeiro,Brazil,TRUE
24-09-1922,Brazil,Paraguay,1,1,Copa América,Rio de Janeiro,Brazil,FALSE
28-09-1922,Argentina,Chile,4,0,Copa América,Rio de Janeiro,Brazil,TRUE
01-10-1922,Brazil,Uruguay,0,0,Copa América,Rio de Janeiro,Brazil,FALSE
05-10-1922,Chile,Paraguay,0,3,Copa América,Rio de Janeiro,Brazil,TRUE
08-10-1922,Argentina,Uruguay,0,1,Copa América,Rio de Janeiro,Brazil,TRUE
12-10-1922,Paraguay,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,TRUE
15-10-1922,Brazil,Argentina,2,0,Copa América,Rio de Janeiro,Brazil,FALSE
18-10-1922,Argentina,Paraguay,2,0,Copa América,Rio de Janeiro,Brazil,TRUE
06-11-1922,Brazil,Paraguay,3,0,Copa América,Rio de Janeiro,Brazil,FALSE
29-10-1923,Argentina,Paraguay,4,3,Copa América,Montevideo,Uruguay,TRUE
04-11-1923,Uruguay,Paraguay,2,0,Copa América,Montevideo,Uruguay,FALSE
11-11-1923,Brazil,Paraguay,0,1,Copa América,Montevideo,Uruguay,TRUE
18-11-1923,Argentina,Brazil,2,1,Copa América,Montevideo,Uruguay,TRUE
25-11-1923,Uruguay,Brazil,2,1,Copa América,Montevideo,Uruguay,FALSE
02-12-1923,Uruguay,Argentina,2,0,Copa América,Montevideo,Uruguay,FALSE
12-10-1924,Argentina,Paraguay,0,0,Copa América,Montevideo,Uruguay,TRUE
19-10-1924,Uruguay,Chile,5,0,Copa América,Montevideo,Uruguay,FALSE
25-10-1924,Argentina,Chile,2,0,Copa América,Montevideo,Uruguay,TRUE
26-10-1924,Uruguay,Paraguay,3,1,Copa América,Montevideo,Uruguay,FALSE
01-11-1924,Chile,Paraguay,1,3,Copa América,Montevideo,Uruguay,TRUE
02-11-1924,Uruguay,Argentina,0,0,Copa América,Montevideo,Uruguay,FALSE
29-11-1925,Argentina,Paraguay,2,0,Copa América,Buenos Aires,Argentina,FALSE
06-12-1925,Brazil,Paraguay,5,2,Copa América,Buenos Aires,Argentina,TRUE
13-12-1925,Argentina,Brazil,4,1,Copa América,Buenos Aires,Argentina,FALSE
17-12-1925,Brazil,Paraguay,3,1,Copa América,Buenos Aires,Argentina,TRUE
20-12-1925,Argentina,Paraguay,3,1,Copa América,Buenos Aires,Argentina,FALSE
25-12-1925,Argentina,Brazil,2,2,Copa América,Buenos Aires,Argentina,FALSE
12-10-1926,Chile,Bolivia,7,1,Copa América,Santiago,Chile,FALSE
16-10-1926,Argentina,Bolivia,5,0,Copa América,Santiago,Chile,TRUE
17-10-1926,Chile,Uruguay,1,3,Copa América,Santiago,Chile,FALSE
20-10-1926,Argentina,Paraguay,8,0,Copa América,Santiago,Chile,TRUE
23-10-1926,Bolivia,Paraguay,1,6,Copa América,Santiago,Chile,TRUE
24-10-1926,Argentina,Uruguay,0,2,Copa América,Santiago,Chile,TRUE
28-10-1926,Bolivia,Uruguay,0,6,Copa América,Santiago,Chile,TRUE
31-10-1926,Chile,Argentina,1,1,Copa América,Santiago,Chile,FALSE
01-11-1926,Paraguay,Uruguay,1,6,Copa América,Santiago,Chile,TRUE
03-11-1926,Chile,Paraguay,5,1,Copa América,Santiago,Chile,FALSE
30-10-1927,Argentina,Bolivia,7,1,Copa América,Lima,Peru,TRUE
01-11-1927,Peru,Uruguay,0,4,Copa América,Lima,Peru,FALSE
06-11-1927,Bolivia,Uruguay,0,9,Copa América,Lima,Peru,TRUE
13-11-1927,Peru,Bolivia,3,2,Copa América,Lima,Peru,FALSE
20-11-1927,Argentina,Uruguay,3,2,Copa América,Lima,Peru,TRUE
27-11-1927,Peru,Argentina,1,5,Copa América,Lima,Peru,FALSE
01-11-1929,Paraguay,Uruguay,3,0,Copa América,Buenos Aires,Argentina,TRUE
03-11-1929,Argentina,Peru,3,0,Copa América,Buenos Aires,Argentina,FALSE
10-11-1929,Argentina,Paraguay,4,1,Copa América,Buenos Aires,Argentina,FALSE
11-11-1929,Peru,Uruguay,1,4,Copa América,Buenos Aires,Argentina,TRUE
16-11-1929,Paraguay,Peru,5,0,Copa América,Avellaneda,Argentina,TRUE
17-11-1929,Argentina,Uruguay,2,0,Copa América,Buenos Aires,Argentina,FALSE
13-07-1930,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,TRUE
13-07-1930,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,TRUE
14-07-1930,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,TRUE
14-07-1930,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,TRUE
15-07-1930,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,TRUE
16-07-1930,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,TRUE
17-07-1930,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,TRUE
17-07-1930,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,TRUE
18-07-1930,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,FALSE
19-07-1930,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,TRUE
19-07-1930,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,TRUE
20-07-1930,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,TRUE
20-07-1930,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,TRUE
21-07-1930,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,FALSE
22-07-1930,Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,TRUE
26-07-1930,Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,TRUE
27-07-1930,Uruguay,Yugoslavia,6,1,FIFA World Cup,Montevideo,Uruguay,FALSE
30-07-1930,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,FALSE
11-06-1933,Sweden,Estonia,6,2,FIFA World Cup qualification,Stockholm,Sweden,FALSE
29-06-1933,Lithuania,Sweden,0,2,FIFA World Cup qualification,Kaunas,Lithuania,FALSE
24-09-1933,Yugoslavia,Switzerland,2,2,FIFA World Cup qualification,Belgrade,Yugoslavia,FALSE
15-10-1933,Poland,Czechoslovakia,1,2,FIFA World Cup qualification,Warsaw,Poland,FALSE
29-10-1933,Switzerland,Romania,2,2,FIFA World Cup qualification,Bern,Switzerland,FALSE
28-01-1934,Haiti,Cuba,1,3,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
01-02-1934,Haiti,Cuba,1,1,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
04-02-1934,Haiti,Cuba,0,6,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
25-02-1934,Republic of Ireland,Belgium,4,4,FIFA World Cup qualification,Dublin,Irish Free State,TRUE
04-03-1934,Mexico,Cuba,3,2,FIFA World Cup qualification,Mexico City,Mexico,FALSE
11-03-1934,Luxembourg,Germany,1,9,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
11-03-1934,Mexico,Cuba,5,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE
11-03-1934,Spain,Portugal,9,0,FIFA World Cup qualification,Madrid,Spain,FALSE
16-03-1934,Egypt,Israel,7,1,FIFA World Cup qualification,Cairo,Egypt,FALSE
18-03-1934,Mexico,Cuba,4,1,FIFA World Cup qualification,Mexico City,Mexico,FALSE
18-03-1934,Portugal,Spain,1,2,FIFA World Cup qualification,Lisbon,Portugal,FALSE
25-03-1934,Bulgaria,Hungary,1,4,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
25-03-1934,Italy,Greece,4,0,FIFA World Cup qualification,Milan,Italy,FALSE
06-04-1934,Israel,Egypt,1,4,FIFA World Cup qualification,Tel Aviv,Mandatory Palestine,FALSE
08-04-1934,Netherlands,Republic of Ireland,5,2,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
15-04-1934,Luxembourg,France,1,6,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
25-04-1934,Austria,Bulgaria,6,1,FIFA World Cup qualification,Vienna,Austria,FALSE
29-04-1934,Hungary,Bulgaria,4,1,FIFA World Cup qualification,Budapest,Hungary,FALSE
29-04-1934,Belgium,Netherlands,2,4,FIFA World Cup qualification,Antwerp,Belgium,FALSE
29-04-1934,Romania,Yugoslavia,2,1,FIFA World Cup qualification,Bucharest,Romania,FALSE
24-05-1934,Mexico,United States,2,4,FIFA World Cup qualification,Rome,Italy,TRUE
27-05-1934,Argentina,Sweden,2,3,FIFA World Cup,Bologna,Italy,TRUE
27-05-1934,Austria,France,3,2,FIFA World Cup,Turin,Italy,TRUE
27-05-1934,Belgium,Germany,2,5,FIFA World Cup,Florence,Italy,TRUE
27-05-1934,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,TRUE
27-05-1934,Czechoslovakia,Romania,2,1,FIFA World Cup,Trieste,Italy,TRUE
27-05-1934,Egypt,Hungary,2,4,FIFA World Cup,Naples,Italy,TRUE
27-05-1934,Italy,United States,7,1,FIFA World Cup,Rome,Italy,FALSE
27-05-1934,Netherlands,Switzerland,2,3,FIFA World Cup,Milan,Italy,TRUE
31-05-1934,Austria,Hungary,2,1,FIFA World Cup,Bologna,Italy,TRUE
31-05-1934,Czechoslovakia,Switzerland,3,2,FIFA World Cup,Turin,Italy,TRUE
31-05-1934,Germany,Sweden,2,1,FIFA World Cup,Milan,Italy,TRUE
31-05-1934,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,FALSE
01-06-1934,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,FALSE
03-06-1934,Czechoslovakia,Germany,3,1,FIFA World Cup,Rome,Italy,TRUE
03-06-1934,Italy,Austria,1,0,FIFA World Cup,Milan,Italy,FALSE
07-06-1934,Austria,Germany,2,3,FIFA World Cup,Naples,Italy,TRUE
10-06-1934,Italy,Czechoslovakia,2,1,FIFA World Cup,Rome,Italy,FALSE
06-01-1935,Argentina,Chile,4,1,Copa América,Lima,Peru,TRUE
13-01-1935,Peru,Uruguay,0,1,Copa América,Lima,Peru,FALSE
18-01-1935,Chile,Uruguay,1,2,Copa América,Lima,Peru,TRUE
20-01-1935,Peru,Argentina,1,4,Copa América,Lima,Peru,FALSE
26-01-1935,Peru,Chile,1,0,Copa América,Lima,Peru,FALSE
27-01-1935,Argentina,Uruguay,0,3,Copa América,Lima,Peru,TRUE
27-12-1936,Brazil,Peru,3,2,Copa América,Buenos Aires,Argentina,TRUE
30-12-1936,Argentina,Chile,2,1,Copa América,Buenos Aires,Argentina,FALSE
02-01-1937,Paraguay,Uruguay,4,2,Copa América,Buenos Aires,Argentina,TRUE
03-01-1937,Brazil,Chile,6,4,Copa América,Buenos Aires,Argentina,TRUE
06-01-1937,Peru,Uruguay,2,4,Copa América,Buenos Aires,Argentina,TRUE
09-01-1937,Argentina,Paraguay,6,1,Copa América,Buenos Aires,Argentina,FALSE
10-01-1937,Chile,Uruguay,3,0,Copa América,Buenos Aires,Argentina,TRUE
13-01-1937,Brazil,Paraguay,5,0,Copa América,Buenos Aires,Argentina,TRUE
16-01-1937,Argentina,Peru,1,0,Copa América,Buenos Aires,Argentina,FALSE
17-01-1937,Chile,Paraguay,2,3,Copa América,Buenos Aires,Argentina,TRUE
19-01-1937,Brazil,Uruguay,3,2,Copa América,Buenos Aires,Argentina,TRUE
21-01-1937,Chile,Peru,2,2,Copa América,Buenos Aires,Argentina,TRUE
23-01-1937,Argentina,Uruguay,2,3,Copa América,Buenos Aires,Argentina,FALSE
24-01-1937,Paraguay,Peru,0,1,Copa América,Buenos Aires,Argentina,TRUE
30-01-1937,Argentina,Brazil,1,0,Copa América,Buenos Aires,Argentina,FALSE
01-02-1937,Argentina,Brazil,2,0,Copa América,Buenos Aires,Argentina,FALSE
16-06-1937,Sweden,Finland,4,0,FIFA World Cup qualification,Solna,Sweden,FALSE
20-06-1937,Sweden,Estonia,7,2,FIFA World Cup qualification,Solna,Sweden,FALSE
29-06-1937,Finland,Germany,0,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
29-07-1937,Latvia,Lithuania,4,2,FIFA World Cup qualification,Riga,Latvia,FALSE
19-08-1937,Finland,Estonia,0,1,FIFA World Cup qualification,Turku,Finland,FALSE
29-08-1937,Germany,Estonia,4,1,FIFA World Cup qualification,Königsberg,Germany,FALSE
03-09-1937,Lithuania,Latvia,1,5,FIFA World Cup qualification,Kaunas,Lithuania,FALSE
05-10-1937,Austria,Latvia,2,1,FIFA World Cup qualification,Vienna,Austria,FALSE
10-10-1937,Norway,Republic of Ireland,3,2,FIFA World Cup qualification,Oslo,Norway,FALSE
10-10-1937,Poland,Yugoslavia,4,0,FIFA World Cup qualification,Warsaw,Poland,FALSE
07-11-1937,Bulgaria,Czechoslovakia,1,1,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
07-11-1937,Republic of Ireland,Norway,3,3,FIFA World Cup qualification,Dublin,Irish Free State,TRUE
21-11-1937,Germany,Sweden,5,0,FIFA World Cup qualification,Altona,Germany,FALSE
28-11-1937,Netherlands,Luxembourg,4,0,FIFA World Cup qualification,Rotterdam,Netherlands,FALSE
22-01-1938,Israel,Greece,1,3,FIFA World Cup qualification,Tel Aviv,Mandatory Palestine,FALSE
20-02-1938,Greece,Israel,1,0,FIFA World Cup qualification,Athens,Greece,FALSE
13-03-1938,Luxembourg,Belgium,2,3,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
25-03-1938,Hungary,Greece,11,1,FIFA World Cup qualification,Budapest,Hungary,FALSE
03-04-1938,Belgium,Netherlands,1,1,FIFA World Cup qualification,Antwerp,Belgium,FALSE
03-04-1938,Yugoslavia,Poland,1,0,FIFA World Cup qualification,Belgrade,Yugoslavia,FALSE
24-04-1938,Czechoslovakia,Bulgaria,6,0,FIFA World Cup qualification,Prague,Czechoslovakia,FALSE
01-05-1938,Switzerland,Portugal,2,1,FIFA World Cup qualification,Milan,Italy,TRUE
